StellarType,MassMstar/Msun,LuminosityLstar/Lsun,RadiusRstar/Rsun,TempK,Color IndexB-V,Abs MagMv,Bolo CorrBC(Temp),Bolo MagMbol,Star ColorRGB 0-255
O0Ia0,160.0,34100000.0,80.2,50000.0,-0.35,-9.5,-4.58,-14.08,144 166 255
O0Ia,150.0,2590000.0,22.1,50000.0,-0.35,-6.7,-4.58,-11.28,144 166 255
O0Ib,140.0,2150000.0,20.2,50000.0,-0.35,-6.5,-4.58,-11.08,144 166 255
O0II,130.0,2150000.0,20.2,50000.0,-0.35,-6.5,-4.58,-11.08,144 166 255
O0III,120.0,2150000.0,20.2,50000.0,-0.35,-6.5,-4.58,-11.08,144 166 255
O0IV,110.0,1360000.0,16.0,50000.0,-0.35,-6.0,-4.58,-10.58,144 166 255
O0V,100.0,1240000.0,15.3,50000.0,-0.35,-5.9,-4.58,-10.48,144 166 255
O0VI,60.0,940000.0,13.3,50000.0,-0.35,-5.6,-4.58,-10.18,144 166 255
O1Ia0,159.7,27100000.0,78.8,47600.0,-0.35,-9.4,-4.43,-13.83,146 168 255
O1Ia,149.3,2250000.0,22.7,47600.0,-0.35,-6.7,-4.43,-11.13,146 168 255
O1Ib,139.0,1870000.0,20.7,47600.0,-0.35,-6.5,-4.43,-10.93,146 168 255
O1II,128.6,1730000.0,19.8,47800.0,-0.35,-6.4,-4.44,-10.84,146 168 255
O1III,118.2,1580000.0,18.9,47800.0,-0.35,-6.3,-4.44,-10.74,146 168 255
O1IV,107.9,1090000.0,15.7,47800.0,-0.35,-5.9,-4.44,-10.34,145 167 255
O1V,97.5,994000.0,15.0,47800.0,-0.35,-5.8,-4.44,-10.24,146 168 255
O1VI,37.0,754000.0,13.1,47800.0,-0.35,-5.5,-4.44,-9.94,146 168 255
O2Ia0,159.4,21400000.0,77.7,45200.0,-0.35,-9.3,-4.28,-13.58,148 170 255
O2Ia,148.6,2140000.0,24.6,45200.0,-0.35,-6.8,-4.28,-11.08,148 170 255
O2Ib,137.9,1620000.0,21.4,45200.0,-0.35,-6.5,-4.28,-10.78,148 170 255
O2II,127.2,1520000.0,20.3,45600.0,-0.35,-6.4,-4.3,-10.7,148 170 255
O2III,116.5,1260000.0,18.5,45600.0,-0.35,-6.2,-4.3,-10.5,148 169 255
O2IV,105.7,872000.0,15.4,45600.0,-0.35,-5.8,-4.3,-10.1,146 169 255
O2V,95.0,795000.0,14.7,45600.0,-0.35,-5.7,-4.3,-10.0,148 170 255
O2VI,30.0,603000.0,12.8,45600.0,-0.35,-5.4,-4.3,-9.7,148 170 255
O3Ia0,159.0,16800000.0,76.9,42800.0,-0.34,-9.2,-4.12,-13.32,151 172 255
O3Ia,148.0,1850000.0,25.5,42800.0,-0.34,-6.8,-4.12,-10.92,151 172 255
O3Ib,136.9,1400000.0,22.2,42800.0,-0.34,-6.5,-4.12,-10.62,151 172 255
O3II,125.8,1210000.0,20.0,43400.0,-0.34,-6.3,-4.16,-10.46,149 173 255
